City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
Kirkland,All Residential,1/1/13,1/31/13,347
Seattle,All Residential,2/1/13,2/28/13,367
Tacoma,All Residential,3/1/13,3/31/13,160
Snoqualmie,All Residential,5/1/13,5/31/13,415
Sammamish,All Residential,6/1/13,6/30/13,597
Bothell,All Residential,9/1/13,9/30/13,377
Sammamish,All Residential,10/1/13,10/31/13,585
Sammamish,All Residential,11/1/13,11/30/13,618
Seattle,All Residential,2/1/14,2/28/14,414
Snoqualmie,All Residential,2/1/14,2/28/14,440
Tacoma,All Residential,2/1/14,2/28/14,170
Issaquah,All Residential,4/1/14,4/30/14,480
Bellevue,All Residential,5/1/14,5/31/14,562
Olympia,All Residential,6/1/14,6/30/14,249
Mercer Island,All Residential,6/1/14,6/30/14,970
Seattle,All Residential,8/1/14,8/31/14,417
Snoqualmie,All Residential,8/1/14,8/31/14,528
Redmond,All Residential,10/1/14,10/31/14,529
Bothell,All Residential,11/1/14,11/30/14,450
Olympia,All Residential,12/1/14,12/31/14,236
Snoqualmie,All Residential,12/1/14,12/31/14,564
Tacoma,All Residential,12/1/14,12/31/14,185
Kenmore,All Residential,2/1/15,2/28/15,428
Mercer Island,All Residential,9/1/15,9/30/15,"1,090"
Tacoma,All Residential,11/1/15,11/30/15,215
Seattle,All Residential,12/1/15,12/31/15,525
Kenmore,All Residential,1/1/16,1/31/16,525
Seattle,All Residential,2/1/16,2/29/16,500
Sammamish,All Residential,2/1/16,2/29/16,657
Kenmore,All Residential,2/1/16,2/29/16,525
Snoqualmie,All Residential,5/1/16,5/31/16,572
Kirkland,All Residential,5/1/16,5/31/16,675
Mercer Island,All Residential,6/1/16,6/30/16,"1,274"
Kirkland,All Residential,7/1/16,7/31/16,595
Bellevue,All Residential,7/1/16,7/31/16,710
Redmond,All Residential,8/1/16,8/31/16,700
Tacoma,All Residential,9/1/16,9/30/16,240
Bothell,All Residential,10/1/16,10/31/16,510
Mercer Island,All Residential,10/1/16,10/31/16,"1,145"
Issaquah,All Residential,11/1/16,11/30/16,557
Bothell,All Residential,11/1/16,11/30/16,551
Olympia,All Residential,2/1/17,2/28/17,285
Mercer Island,All Residential,2/1/17,2/28/17,"1,097"
Snoqualmie,All Residential,3/1/17,3/31/17,695
Kenmore,All Residential,3/1/17,3/31/17,610
Bothell,All Residential,4/1/17,4/30/17,576
Kent,All Residential,4/1/17,4/30/17,379
Bellevue,All Residential,5/1/17,5/31/17,833
