City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
Sammamish,All Residential,2/1/12,2/29/12,532
Snoqualmie,All Residential,3/1/12,3/31/12,439
Sammamish,All Residential,4/1/12,4/30/12,470
Bothell,All Residential,5/1/12,5/31/12,325
Bellevue,All Residential,5/1/12,5/31/12,467
Tacoma,All Residential,5/1/12,5/31/12,155
Olympia,All Residential,6/1/12,6/30/12,250
Seattle,All Residential,10/1/12,10/31/12,366
Kirkland,All Residential,10/1/12,10/31/12,400
Sammamish,All Residential,11/1/12,11/30/12,542
Bellevue,All Residential,12/1/12,12/31/12,527
Mercer Island,All Residential,12/1/12,12/31/12,756
Kenmore,All Residential,3/1/13,3/31/13,332
Mercer Island,All Residential,3/1/13,3/31/13,880
Seattle,All Residential,4/1/13,4/30/13,390
Seattle,All Residential,6/1/13,6/30/13,410
Mercer Island,All Residential,7/1/13,7/31/13,963
Bellevue,All Residential,8/1/13,8/31/13,515
Olympia,All Residential,9/1/13,9/30/13,242
Kent,All Residential,9/1/13,9/30/13,275
Tacoma,All Residential,12/1/13,12/31/13,170
Bothell,All Residential,1/1/14,1/31/14,384
Olympia,All Residential,5/1/14,5/31/14,245
Kent,All Residential,5/1/14,5/31/14,266
Kenmore,All Residential,8/1/14,8/31/14,433
Seattle,All Residential,10/1/14,10/31/14,448
Bothell,All Residential,10/1/14,10/31/14,431
Kenmore,All Residential,12/1/14,12/31/14,389
Olympia,All Residential,1/1/15,1/31/15,253
Seattle,All Residential,5/1/15,5/31/15,490
Snoqualmie,All Residential,6/1/15,6/30/15,543
Sammamish,All Residential,6/1/15,6/30/15,650
Tacoma,All Residential,6/1/15,6/30/15,214
Redmond,All Residential,7/1/15,7/31/15,630
Kirkland,All Residential,9/1/15,9/30/15,525
Tacoma,All Residential,9/1/15,9/30/15,210
Sammamish,All Residential,11/1/15,11/30/15,675
Sammamish,All Residential,3/1/16,3/31/16,724
Redmond,All Residential,4/1/16,4/30/16,625
Bellevue,All Residential,4/1/16,4/30/16,725
Sammamish,All Residential,5/1/16,5/31/16,728
Sammamish,All Residential,6/1/16,6/30/16,769
Olympia,All Residential,10/1/16,10/31/16,279
Tacoma,All Residential,11/1/16,11/30/16,246
Bellevue,All Residential,12/1/16,12/31/16,775
Seattle,All Residential,1/1/17,1/31/17,575
Bothell,All Residential,3/1/17,3/31/17,610
Tacoma,All Residential,3/1/17,3/31/17,255
Kenmore,All Residential,4/1/17,4/30/17,687
Bellevue,All Residential,6/1/17,6/30/17,923
Seattle,All Residential,7/1/17,7/31/17,680
Kenmore,All Residential,7/1/17,7/31/17,637
Snoqualmie,All Residential,8/1/17,8/31/17,699
Mercer Island,All Residential,8/1/17,8/31/17,"1,314"
Seattle,All Residential,9/1/17,9/30/17,665
Snoqualmie,All Residential,2/1/18,2/28/18,659
Bothell,All Residential,2/1/18,2/28/18,681
Snoqualmie,All Residential,4/1/18,4/30/18,777
Redmond,All Residential,6/1/18,6/30/18,860
Kenmore,All Residential,8/1/18,8/31/18,675
Issaquah,All Residential,9/1/18,9/30/18,749
Olympia,All Residential,10/1/18,10/31/18,318
Kenmore,All Residential,1/1/19,1/31/19,670
Snoqualmie,All Residential,2/1/19,2/28/19,499
Kenmore,All Residential,2/1/19,2/28/19,602
Kirkland,All Residential,3/1/19,3/31/19,816
Bothell,All Residential,4/1/19,4/30/19,680
Kirkland,All Residential,6/1/19,6/30/19,828
Kenmore,All Residential,6/1/19,6/30/19,817
Tacoma,All Residential,6/1/19,6/30/19,337
Tacoma,All Residential,7/1/19,7/31/19,339
Sammamish,All Residential,9/1/19,9/30/19,928
Mercer Island,All Residential,9/1/19,9/30/19,"1,450"
Seattle,Condo/Co-op,1/1/10,1/31/10,309
Bothell,Condo/Co-op,2/1/10,2/28/10,256
Issaquah,Condo/Co-op,2/1/10,2/28/10,225
Tacoma,Condo/Co-op,3/1/10,3/31/10,165
Bellevue,Condo/Co-op,4/1/10,4/30/10,206
Mercer Island,Condo/Co-op,4/1/10,4/30/10,327
Tacoma,Condo/Co-op,5/1/10,5/31/10,226
Issaquah,Condo/Co-op,6/1/10,6/30/10,195
Issaquah,Condo/Co-op,7/1/10,7/31/10,210
Tacoma,Condo/Co-op,9/1/10,9/30/10,233
Sammamish,Condo/Co-op,12/1/10,12/31/10,186
Tacoma,Condo/Co-op,12/1/10,12/31/10,183
Tacoma,Condo/Co-op,2/1/11,2/28/11,173
Tacoma,Condo/Co-op,5/1/11,5/31/11,130
Bothell,Condo/Co-op,6/1/11,6/30/11,230
Kenmore,Condo/Co-op,6/1/11,6/30/11,135
Tacoma,Condo/Co-op,7/1/11,7/31/11,132
Redmond,Condo/Co-op,8/1/11,8/31/11,186
Bothell,Condo/Co-op,10/1/11,10/31/11,103
Kenmore,Condo/Co-op,12/1/11,12/31/11,195
Kenmore,Condo/Co-op,1/1/12,1/31/12,100
Bellevue,Condo/Co-op,9/1/12,9/30/12,480
Olympia,Condo/Co-op,10/1/12,10/31/12,383
Kirkland,Condo/Co-op,12/1/12,12/31/12,175
Snoqualmie,Condo/Co-op,3/1/13,3/31/13,291
Seattle,Condo/Co-op,6/1/13,6/30/13,293
Mercer Island,Condo/Co-op,11/1/13,11/30/13,317
Seattle,Condo/Co-op,2/1/14,2/28/14,311
Kent,Condo/Co-op,2/1/14,2/28/14,140
Mercer Island,Condo/Co-op,6/1/14,6/30/14,340
Tacoma,Condo/Co-op,9/1/14,9/30/14,160
Bellevue,Condo/Co-op,11/1/14,11/30/14,310
Kent,Condo/Co-op,12/1/14,12/31/14,135
Kenmore,Condo/Co-op,1/1/15,1/31/15,215
Bothell,Condo/Co-op,4/1/15,4/30/15,270
Bellevue,Condo/Co-op,8/1/15,8/31/15,302
Kent,Condo/Co-op,9/1/15,9/30/15,150
Mercer Island,Condo/Co-op,9/1/15,9/30/15,392
Kirkland,Condo/Co-op,10/1/15,10/31/15,235
Seattle,Condo/Co-op,12/1/15,12/31/15,346
Mercer Island,Condo/Co-op,12/1/15,12/31/15,694
Redmond,Condo/Co-op,4/1/16,4/30/16,280
Olympia,Condo/Co-op,5/1/16,5/31/16,220
Snoqualmie,Condo/Co-op,5/1/16,5/31/16,325
Seattle,Condo/Co-op,7/1/16,7/31/16,460
Olympia,Condo/Co-op,9/1/16,9/30/16,153
Kirkland,Condo/Co-op,9/1/16,9/30/16,280
Bothell,Condo/Co-op,11/1/16,11/30/16,440
Mercer Island,Condo/Co-op,12/1/16,12/31/16,448
Seattle,Condo/Co-op,1/1/17,1/31/17,428
Kent,Condo/Co-op,1/1/17,1/31/17,204
Bothell,Condo/Co-op,2/1/17,2/28/17,311
Issaquah,Condo/Co-op,3/1/17,3/31/17,350
Olympia,Condo/Co-op,8/1/17,8/31/17,166
Issaquah,Condo/Co-op,9/1/17,9/30/17,375
Snoqualmie,Condo/Co-op,1/1/18,1/31/18,435
Olympia,Condo/Co-op,2/1/18,2/28/18,255
Bellevue,Condo/Co-op,3/1/18,3/31/18,705
Bothell,Condo/Co-op,3/1/18,3/31/18,328
Mercer Island,Condo/Co-op,6/1/18,6/30/18,629
Kenmore,Condo/Co-op,7/1/18,7/31/18,303
Seattle,Condo/Co-op,7/1/18,7/31/18,504
Kent,Condo/Co-op,8/1/18,8/31/18,230
Bothell,Condo/Co-op,9/1/18,9/30/18,390
Kirkland,Condo/Co-op,9/1/18,9/30/18,390
Tacoma,Condo/Co-op,10/1/18,10/31/18,236
Olympia,Condo/Co-op,11/1/18,11/30/18,173
Redmond,Condo/Co-op,2/1/19,2/28/19,365
Kirkland,Condo/Co-op,3/1/19,3/31/19,383
Tacoma,Condo/Co-op,6/1/19,6/30/19,331
Bothell,Condo/Co-op,9/1/19,9/30/19,358
Seattle,Multi-Family (2-4 Unit),2/1/10,2/28/10,533
Olympia,Multi-Family (2-4 Unit),5/1/10,5/31/10,192
Tacoma,Multi-Family (2-4 Unit),12/1/10,12/31/10,180
Bothell,Multi-Family (2-4 Unit),2/1/11,2/28/11,780
Tacoma,Multi-Family (2-4 Unit),7/1/11,7/31/11,192
Seattle,Multi-Family (2-4 Unit),9/1/11,9/30/11,525
Olympia,Multi-Family (2-4 Unit),12/1/11,12/31/11,212
Seattle,Multi-Family (2-4 Unit),12/1/11,12/31/11,492
Kirkland,Multi-Family (2-4 Unit),2/1/12,2/29/12,471
Olympia,Multi-Family (2-4 Unit),3/1/13,3/31/13,172
Olympia,Multi-Family (2-4 Unit),6/1/13,6/30/13,221
Snoqualmie,Multi-Family (2-4 Unit),11/1/13,11/30/13,150
Olympia,Multi-Family (2-4 Unit),4/1/14,4/30/14,186
Kent,Multi-Family (2-4 Unit),6/1/14,6/30/14,325
Tacoma,Multi-Family (2-4 Unit),7/1/14,7/31/14,151
Kirkland,Multi-Family (2-4 Unit),5/1/15,5/31/15,875
Tacoma,Multi-Family (2-4 Unit),8/1/15,8/31/15,248
Olympia,Multi-Family (2-4 Unit),6/1/16,6/30/16,233
Bellevue,Multi-Family (2-4 Unit),4/1/18,4/30/18,"1,570"
Olympia,Multi-Family (2-4 Unit),5/1/18,5/31/18,336
Bellevue,Multi-Family (2-4 Unit),5/1/18,5/31/18,"1,400"
Bothell,Multi-Family (2-4 Unit),10/1/18,10/31/18,740
Mercer Island,Condo/Co-op,1/1/10,1/31/10,213
Redmond,Condo/Co-op,2/1/10,2/28/10,249
Snoqualmie,Condo/Co-op,5/1/10,5/31/10,450
Olympia,Condo/Co-op,9/1/10,9/30/10,143
Tacoma,Condo/Co-op,10/1/10,10/31/10,191
Seattle,Condo/Co-op,11/1/10,11/30/10,257
Redmond,Condo/Co-op,12/1/10,12/31/10,165
Olympia,Condo/Co-op,4/1/11,4/30/11,215
Bellevue,Condo/Co-op,4/1/11,4/30/11,350
Bellevue,Condo/Co-op,5/1/11,5/31/11,275
Redmond,Condo/Co-op,5/1/11,5/31/11,193
Olympia,Condo/Co-op,9/1/11,9/30/11,166
Sammamish,Condo/Co-op,9/1/11,9/30/11,227
Tacoma,Condo/Co-op,10/1/11,10/31/11,101
Olympia,Condo/Co-op,1/1/12,1/31/12,153
Sammamish,Condo/Co-op,4/1/12,4/30/12,183
Olympia,Condo/Co-op,6/1/12,6/30/12,166
Kirkland,Condo/Co-op,8/1/12,8/31/12,168
Tacoma,Condo/Co-op,8/1/12,8/31/12,150
Issaquah,Condo/Co-op,12/1/12,12/31/12,148
Bellevue,Condo/Co-op,2/1/13,2/28/13,405
Kenmore,Condo/Co-op,4/1/13,4/30/13,290
Kent,Condo/Co-op,5/1/13,5/31/13,89
Snoqualmie,Condo/Co-op,5/1/13,5/31/13,245
Tacoma,Condo/Co-op,7/1/13,7/31/13,153
Redmond,Condo/Co-op,9/1/13,9/30/13,216
Snoqualmie,Condo/Co-op,10/1/13,10/31/13,272
Sammamish,Condo/Co-op,12/1/13,12/31/13,242
Issaquah,Condo/Co-op,1/1/14,1/31/14,215
Sammamish,Condo/Co-op,4/1/14,4/30/14,265
Bothell,Condo/Co-op,4/1/14,4/30/14,270
Kenmore,Condo/Co-op,5/1/14,5/31/14,149
Sammamish,Condo/Co-op,7/1/14,7/31/14,256
Bellevue,Condo/Co-op,8/1/14,8/31/14,307
Bellevue,Condo/Co-op,1/1/15,1/31/15,285
Olympia,Condo/Co-op,2/1/15,2/28/15,104
Kenmore,Condo/Co-op,2/1/15,2/28/15,233
Tacoma,Condo/Co-op,2/1/15,2/28/15,270
Mercer Island,Condo/Co-op,3/1/15,3/31/15,298
Bellevue,Condo/Co-op,4/1/15,4/30/15,353
Snoqualmie,Condo/Co-op,5/1/15,5/31/15,304
Tacoma,Condo/Co-op,6/1/15,6/30/15,165
Olympia,Condo/Co-op,8/1/15,8/31/15,218
Kenmore,Condo/Co-op,8/1/15,8/31/15,195
Olympia,Condo/Co-op,10/1/15,10/31/15,227
Kent,Condo/Co-op,12/1/15,12/31/15,166
Olympia,Condo/Co-op,1/1/16,1/31/16,125
Sammamish,Condo/Co-op,1/1/16,1/31/16,282
Seattle,Condo/Co-op,1/1/16,1/31/16,352
Seattle,Condo/Co-op,2/1/16,2/29/16,380
Mercer Island,Condo/Co-op,5/1/16,5/31/16,387
Olympia,Condo/Co-op,6/1/16,6/30/16,272
Kenmore,Condo/Co-op,6/1/16,6/30/16,230
Olympia,Condo/Co-op,7/1/16,7/31/16,145
Bothell,Condo/Co-op,8/1/16,8/31/16,486
Issaquah,Condo/Co-op,10/1/16,10/31/16,269
Bothell,Condo/Co-op,4/1/17,4/30/17,329
Issaquah,Condo/Co-op,4/1/17,4/30/17,320
Bellevue,Condo/Co-op,4/1/17,4/30/17,425
Mercer Island,Condo/Co-op,5/1/17,5/31/17,465
Olympia,Condo/Co-op,9/1/17,9/30/17,156
Redmond,Condo/Co-op,9/1/17,9/30/17,400
Seattle,Condo/Co-op,9/1/17,9/30/17,453
Olympia,Condo/Co-op,11/1/17,11/30/17,280
Bellevue,Condo/Co-op,11/1/17,11/30/17,403
Snoqualmie,Condo/Co-op,12/1/17,12/31/17,500
Mercer Island,Condo/Co-op,12/1/17,12/31/17,583
Kenmore,Condo/Co-op,2/1/18,2/28/18,283
Tacoma,Condo/Co-op,3/1/18,3/31/18,236
Snoqualmie,Condo/Co-op,5/1/18,5/31/18,460
Olympia,Condo/Co-op,6/1/18,6/30/18,216
Sammamish,Condo/Co-op,6/1/18,6/30/18,430
Kirkland,Condo/Co-op,8/1/18,8/31/18,426
Seattle,Condo/Co-op,8/1/18,8/31/18,495
Kenmore,Condo/Co-op,11/1/18,11/30/18,263
Kenmore,Condo/Co-op,12/1/18,12/31/18,239
Bellevue,Condo/Co-op,1/1/19,1/31/19,565
Tacoma,Condo/Co-op,1/1/19,1/31/19,413
Olympia,Condo/Co-op,4/1/19,4/30/19,196
Kenmore,Condo/Co-op,6/1/19,6/30/19,352
Tacoma,Condo/Co-op,9/1/19,9/30/19,253
Tacoma,Multi-Family (2-4 Unit),6/1/10,6/30/10,130
Seattle,Multi-Family (2-4 Unit),7/1/10,7/31/10,505
Seattle,Multi-Family (2-4 Unit),12/1/10,12/31/10,458
Tacoma,Multi-Family (2-4 Unit),2/1/11,2/28/11,175
Tacoma,Multi-Family (2-4 Unit),4/1/11,4/30/11,150
Tacoma,Multi-Family (2-4 Unit),4/1/12,4/30/12,165
Tacoma,Multi-Family (2-4 Unit),5/1/12,5/31/12,148
Tacoma,Multi-Family (2-4 Unit),7/1/12,7/31/12,145
Seattle,Multi-Family (2-4 Unit),4/1/13,4/30/13,515
Tacoma,Multi-Family (2-4 Unit),7/1/13,7/31/13,228
Olympia,Multi-Family (2-4 Unit),5/1/14,5/31/14,282
Tacoma,Multi-Family (2-4 Unit),6/1/14,6/30/14,154
Olympia,Multi-Family (2-4 Unit),2/1/15,2/28/15,300
Tacoma,Multi-Family (2-4 Unit),2/1/15,2/28/15,208
Seattle,Multi-Family (2-4 Unit),4/1/15,4/30/15,724
Seattle,Multi-Family (2-4 Unit),9/1/15,9/30/15,700
Tacoma,Multi-Family (2-4 Unit),2/1/16,2/29/16,185
Tacoma,Multi-Family (2-4 Unit),3/1/16,3/31/16,282
Bellevue,Multi-Family (2-4 Unit),4/1/16,4/30/16,750
Tacoma,Multi-Family (2-4 Unit),5/1/16,5/31/16,290
Olympia,Multi-Family (2-4 Unit),4/1/17,4/30/17,303
Seattle,Multi-Family (2-4 Unit),5/1/17,5/31/17,960
Tacoma,Multi-Family (2-4 Unit),5/1/17,5/31/17,350
Kent,Multi-Family (2-4 Unit),6/1/17,6/30/17,491
Olympia,Multi-Family (2-4 Unit),10/1/17,10/31/17,275
Seattle,Multi-Family (2-4 Unit),2/1/18,2/28/18,875
Olympia,Multi-Family (2-4 Unit),8/1/18,8/31/18,326
Tacoma,Multi-Family (2-4 Unit),8/1/18,8/31/18,413
Olympia,Multi-Family (2-4 Unit),9/1/18,9/30/18,340
Kent,Multi-Family (2-4 Unit),9/1/18,9/30/18,525
Tacoma,Multi-Family (2-4 Unit),9/1/18,9/30/18,441
Olympia,Multi-Family (2-4 Unit),4/1/19,4/30/19,329
Tacoma,Multi-Family (2-4 Unit),4/1/19,4/30/19,495
Snoqualmie,Multi-Family (2-4 Unit),6/1/19,6/30/19,468
Seattle,Condo/Co-op,2/1/10,2/28/10,292
Redmond,Condo/Co-op,4/1/10,4/30/10,225
Seattle,Condo/Co-op,6/1/10,6/30/10,279
Bothell,Condo/Co-op,6/1/10,6/30/10,183
Mercer Island,Condo/Co-op,6/1/10,6/30/10,312
Seattle,Condo/Co-op,9/1/10,9/30/10,284
Kent,Condo/Co-op,6/1/11,6/30/11,92
Issaquah,Condo/Co-op,6/1/11,6/30/11,177
Kenmore,Condo/Co-op,7/1/11,7/31/11,162
Bellevue,Condo/Co-op,9/1/11,9/30/11,253
Bellevue,Condo/Co-op,11/1/11,11/30/11,305
Seattle,Condo/Co-op,1/1/12,1/31/12,200
Olympia,Condo/Co-op,2/1/12,2/29/12,96
Olympia,Condo/Co-op,3/1/12,3/31/12,196
Redmond,Condo/Co-op,3/1/12,3/31/12,140
Tacoma,Condo/Co-op,3/1/12,3/31/12,100
Olympia,Condo/Co-op,4/1/12,4/30/12,130
Bothell,Condo/Co-op,4/1/12,4/30/12,125
Tacoma,Condo/Co-op,4/1/12,4/30/12,154
Olympia,Condo/Co-op,7/1/12,7/31/12,166
Bothell,Condo/Co-op,10/1/12,10/31/12,95
Mercer Island,Condo/Co-op,10/1/12,10/31/12,168
Tacoma,Condo/Co-op,10/1/12,10/31/12,130
Sammamish,Condo/Co-op,11/1/12,11/30/12,145
Olympia,Condo/Co-op,12/1/12,12/31/12,190
Bothell,Condo/Co-op,1/1/13,1/31/13,115
Kenmore,Condo/Co-op,2/1/13,2/28/13,121
Sammamish,Condo/Co-op,3/1/13,3/31/13,181
Bellevue,Condo/Co-op,4/1/13,4/30/13,340
Issaquah,Condo/Co-op,6/1/13,6/30/13,210
Bellevue,Condo/Co-op,6/1/13,6/30/13,335
Tacoma,Condo/Co-op,6/1/13,6/30/13,144
Snoqualmie,Condo/Co-op,7/1/13,7/31/13,335
Bothell,Condo/Co-op,7/1/13,7/31/13,146
Kenmore,Condo/Co-op,8/1/13,8/31/13,190
Issaquah,Condo/Co-op,9/1/13,9/30/13,205
Mercer Island,Condo/Co-op,4/1/14,4/30/14,336
Snoqualmie,Condo/Co-op,6/1/14,6/30/14,265
Bothell,Condo/Co-op,7/1/14,7/31/14,188
Tacoma,Condo/Co-op,10/1/14,10/31/14,224
Bellevue,Condo/Co-op,12/1/14,12/31/14,321
Tacoma,Condo/Co-op,12/1/14,12/31/14,135
Kirkland,Condo/Co-op,3/1/15,3/31/15,230
Seattle,Condo/Co-op,5/1/15,5/31/15,325
Kent,Condo/Co-op,8/1/15,8/31/15,158
Sammamish,Condo/Co-op,9/1/15,9/30/15,257
Kenmore,Condo/Co-op,10/1/15,10/31/15,233
Bothell,Condo/Co-op,10/1/15,10/31/15,258
Kent,Condo/Co-op,3/1/16,3/31/16,144
Snoqualmie,Condo/Co-op,4/1/16,4/30/16,364
Tacoma,Condo/Co-op,5/1/16,5/31/16,221
Sammamish,Condo/Co-op,7/1/16,7/31/16,329
Tacoma,Condo/Co-op,8/1/16,8/31/16,197
Tacoma,Condo/Co-op,9/1/16,9/30/16,210
Mercer Island,Condo/Co-op,1/1/17,1/31/17,390
Mercer Island,Condo/Co-op,2/1/17,2/28/17,410
Olympia,Condo/Co-op,3/1/17,3/31/17,230
Olympia,Condo/Co-op,4/1/17,4/30/17,193
Snoqualmie,Condo/Co-op,5/1/17,5/31/17,488
Mercer Island,Condo/Co-op,8/1/17,8/31/17,433
Seattle,Condo/Co-op,8/1/17,8/31/17,465
Snoqualmie,Condo/Co-op,9/1/17,9/30/17,501
Sammamish,Condo/Co-op,11/1/17,11/30/17,460
Bothell,Condo/Co-op,12/1/17,12/31/17,372
Seattle,Condo/Co-op,5/1/18,5/31/18,550
Seattle,Condo/Co-op,9/1/18,9/30/18,500
Tacoma,Condo/Co-op,12/1/18,12/31/18,361
Bothell,Condo/Co-op,2/1/19,2/28/19,574
Olympia,Condo/Co-op,3/1/19,3/31/19,215
Kent,Condo/Co-op,3/1/19,3/31/19,257
Seattle,Condo/Co-op,4/1/19,4/30/19,475
Bothell,Condo/Co-op,5/1/19,5/31/19,400
Snoqualmie,Condo/Co-op,6/1/19,6/30/19,395
Bothell,Multi-Family (2-4 Unit),4/1/10,4/30/10,480
Seattle,Multi-Family (2-4 Unit),10/1/10,10/31/10,486
Tacoma,Multi-Family (2-4 Unit),1/1/11,1/31/11,196
Olympia,Multi-Family (2-4 Unit),8/1/11,8/31/11,218
Olympia,Multi-Family (2-4 Unit),9/1/11,9/30/11,193
Kent,Multi-Family (2-4 Unit),11/1/11,11/30/11,105
Olympia,Multi-Family (2-4 Unit),3/1/12,3/31/12,375
Tacoma,Multi-Family (2-4 Unit),6/1/12,6/30/12,130
Olympia,Multi-Family (2-4 Unit),1/1/13,1/31/13,200
Olympia,Multi-Family (2-4 Unit),11/1/13,11/30/13,156
Kirkland,Multi-Family (2-4 Unit),11/1/13,11/30/13,565
Olympia,Multi-Family (2-4 Unit),1/1/14,1/31/14,260
Kirkland,Multi-Family (2-4 Unit),9/1/14,9/30/14,920
Tacoma,Multi-Family (2-4 Unit),10/1/14,10/31/14,210
Tacoma,Multi-Family (2-4 Unit),4/1/15,4/30/15,250
Olympia,Multi-Family (2-4 Unit),6/1/15,6/30/15,215
Bellevue,Multi-Family (2-4 Unit),11/1/15,11/30/15,"1,052"
Olympia,Multi-Family (2-4 Unit),1/1/16,1/31/16,260
Tacoma,Multi-Family (2-4 Unit),7/1/16,7/31/16,253
Seattle,Multi-Family (2-4 Unit),8/1/16,8/31/16,828
Tacoma,Multi-Family (2-4 Unit),8/1/16,8/31/16,252
Bothell,Multi-Family (2-4 Unit),9/1/16,9/30/16,565
Bothell,Multi-Family (2-4 Unit),10/1/16,10/31/16,436
Tacoma,Multi-Family (2-4 Unit),12/1/16,12/31/16,270
Tacoma,Multi-Family (2-4 Unit),4/1/17,4/30/17,367
Olympia,Multi-Family (2-4 Unit),8/1/17,8/31/17,280
Bellevue,Multi-Family (2-4 Unit),3/1/18,3/31/18,"1,506"
Tacoma,Multi-Family (2-4 Unit),5/1/18,5/31/18,425
Seattle,Multi-Family (2-4 Unit),9/1/19,9/30/19,978
Tacoma,Single Family Residential,1/1/10,1/31/10,173
Tacoma,Single Family Residential,2/1/10,2/28/10,165
Tacoma,Single Family Residential,3/1/10,3/31/10,186
Sammamish,Single Family Residential,4/1/10,4/30/10,542
Bellevue,Single Family Residential,4/1/10,4/30/10,525
Redmond,Single Family Residential,5/1/10,5/31/10,520
Snoqualmie,Single Family Residential,5/1/10,5/31/10,443
Olympia,Single Family Residential,6/1/10,6/30/10,264
Mercer Island,Single Family Residential,6/1/10,6/30/10,857
Bothell,Single Family Residential,10/1/10,10/31/10,346
Sammamish,Single Family Residential,10/1/10,10/31/10,550
Sammamish,Single Family Residential,11/1/10,11/30/10,540
Seattle,Single Family Residential,2/1/11,2/28/11,369
Snoqualmie,Single Family Residential,3/1/11,3/31/11,427
Sammamish,Single Family Residential,4/1/11,4/30/11,526
Olympia,Single Family Residential,5/1/11,5/31/11,236
Olympia,Single Family Residential,6/1/11,6/30/11,262
Snoqualmie,Single Family Residential,7/1/11,7/31/11,350
Sammamish,Single Family Residential,9/1/11,9/30/11,552
Mercer Island,Single Family Residential,9/1/11,9/30/11,725
Olympia,Single Family Residential,11/1/11,11/30/11,230
Kent,Single Family Residential,11/1/11,11/30/11,218
Olympia,Single Family Residential,12/1/11,12/31/11,242
Redmond,Single Family Residential,1/1/12,1/31/12,483
Bothell,Single Family Residential,1/1/12,1/31/12,328
Tacoma,Single Family Residential,2/1/12,2/29/12,141
Olympia,Single Family Residential,3/1/12,3/31/12,226
Tacoma,Single Family Residential,4/1/12,4/30/12,144
Olympia,Single Family Residential,5/1/12,5/31/12,234
Olympia,Single Family Residential,6/1/12,6/30/12,251
Seattle,Single Family Residential,6/1/12,6/30/12,425
Bothell,Single Family Residential,7/1/12,7/31/12,357
Issaquah,Single Family Residential,7/1/12,7/31/12,499
Olympia,Single Family Residential,9/1/12,9/30/12,232
Seattle,Single Family Residential,12/1/12,12/31/12,399
Snoqualmie,Single Family Residential,12/1/12,12/31/12,429
Kenmore,Single Family Residential,1/1/13,1/31/13,421
Olympia,Single Family Residential,3/1/13,3/31/13,235
Snoqualmie,Single Family Residential,7/1/13,7/31/13,490
Kirkland,Single Family Residential,7/1/13,7/31/13,527
Mercer Island,Single Family Residential,8/1/13,8/31/13,993
Tacoma,Single Family Residential,8/1/13,8/31/13,180
Kenmore,Single Family Residential,10/1/13,10/31/13,395
Tacoma,Single Family Residential,10/1/13,10/31/13,171
Tacoma,Single Family Residential,11/1/13,11/30/13,162
Tacoma,Single Family Residential,12/1/13,12/31/13,176
Bellevue,Single Family Residential,1/1/14,1/31/14,735
Mercer Island,Single Family Residential,1/1/14,1/31/14,"1,038"
Kenmore,Single Family Residential,2/1/14,2/28/14,435
Kenmore,Single Family Residential,4/1/14,4/30/14,499
Mercer Island,Single Family Residential,4/1/14,4/30/14,"1,332"
Mercer Island,Single Family Residential,6/1/14,6/30/14,971
Snoqualmie,Single Family Residential,7/1/14,7/31/14,530
Tacoma,Single Family Residential,8/1/14,8/31/14,191
Mercer Island,Single Family Residential,10/1/14,10/31/14,"1,281"
Sammamish,Single Family Residential,10/1/14,10/31/14,709
Kenmore,Single Family Residential,1/1/15,1/31/15,505
Mercer Island,Single Family Residential,2/1/15,2/28/15,"1,450"
Kirkland,Single Family Residential,5/1/15,5/31/15,613
Mercer Island,Single Family Residential,7/1/15,7/31/15,"1,100"
Sammamish,Single Family Residential,8/1/15,8/31/15,760
Issaquah,Single Family Residential,9/1/15,9/30/15,700
Tacoma,Single Family Residential,10/1/15,10/31/15,219
Issaquah,Single Family Residential,12/1/15,12/31/15,668
Bothell,Single Family Residential,1/1/16,1/31/16,500
Olympia,Single Family Residential,2/1/16,2/29/16,255
Seattle,Single Family Residential,2/1/16,2/29/16,625
Redmond,Single Family Residential,2/1/16,2/29/16,805
Snoqualmie,Single Family Residential,2/1/16,2/29/16,533
Mercer Island,Single Family Residential,2/1/16,2/29/16,"1,604"
Kent,Single Family Residential,4/1/16,4/30/16,360
Seattle,Single Family Residential,7/1/16,7/31/16,650
Sammamish,Single Family Residential,9/1/16,9/30/16,820
Tacoma,Single Family Residential,11/1/16,11/30/16,245
Kent,Single Family Residential,1/1/17,1/31/17,380
Tacoma,Single Family Residential,2/1/17,2/28/17,239
Snoqualmie,Single Family Residential,6/1/17,6/30/17,780
Olympia,Single Family Residential,8/1/17,8/31/17,308
Sammamish,Single Family Residential,10/1/17,10/31/17,935
Bothell,Single Family Residential,11/1/17,11/30/17,684
Bellevue,Single Family Residential,12/1/17,12/31/17,"1,180"
Sammamish,Single Family Residential,12/1/17,12/31/17,"1,090"
Sammamish,Single Family Residential,3/1/18,3/31/18,"1,070"
Snoqualmie,Single Family Residential,4/1/18,4/30/18,835
Seattle,Single Family Residential,6/1/18,6/30/18,800
Issaquah,Single Family Residential,6/1/18,6/30/18,963
Tacoma,Single Family Residential,6/1/18,6/30/18,320
Sammamish,Single Family Residential,9/1/18,9/30/18,"1,072"
Mercer Island,Single Family Residential,10/1/18,10/31/18,"1,648"
Snoqualmie,Single Family Residential,11/1/18,11/30/18,707
Olympia,Single Family Residential,12/1/18,12/31/18,341
Tacoma,Single Family Residential,12/1/18,12/31/18,300
Redmond,Single Family Residential,1/1/19,1/31/19,"1,027"
Mercer Island,Single Family Residential,3/1/19,3/31/19,"1,588"
Olympia,Single Family Residential,4/1/19,4/30/19,333
